,core_atom_type,core_atom_id,mu_x (debye),mu_y (debye),mu_z (debye),P_x (uC/cm^2),P_y (uC/cm^2),P_z (uC/cm^2),volume (angstrom^3)
101,Al,214,0.41486821911764316,0.5972726991373889,2.275993504111193,36.740487637285376,52.89412205499086,201.5606579317826,3.7665573808797754
102,Al,215,16.427334958470567,-17.188350320125533,3.021036734583069,117.47938158136841,-122.92175030929447,21.60481467083074,46.64281981289544
103,Al,216,17.3051550882614,20.346858901278118,118.24241762672574,892.2158665413459,1049.03944826895,6096.319886571549,6.46971114011532
104,Al,217,34.907322439845814,17.594434295178083,187.25578689150797,400.6667626112647,201.94917674289394,2149.3246880603997,29.061134051701156
105,Al,218,13.257302462388568,-39.945680727658015,112.08780596530305,135.10133314888023,-407.07487327507243,1142.254395915555,32.732175212677696
106,Al,219,11.061659949300582,16.42818102849313,116.7747525473304,567.2829194007235,842.498009973306,5988.642106245114,6.504290550919323
107,Al,220,20.382485573820258,15.912139997488268,139.4775121132587,1111.815285490419,867.9687474816187,7608.160907955004,6.115103896753416
108,Al,221,44.07401133750102,33.625882494984765,240.04942098567577,392.3024202023331,299.3037094628507,2136.6779642478728,37.47493849405867
109,Al,222,2.410642313001425,-19.275034397051364,104.23931733366324,32.43118789752513,-259.3135692054299,1402.366858212441,24.79415180887303
110,Al,223,10.00270496166884,11.309925518772028,202.13057584158892,345.77257308509627,390.96045149912584,6987.230911613115,9.649532083284079
111,Al,224,37.33142102247158,36.31833043468165,193.5566317018605,355.92592409412356,346.26689709289747,1845.4112143644716,34.98599562504182
112,Al,241,8.29218159285754,39.628864940388,112.40449029847856,240.59987188614457,1149.8421399578829,3261.4464194243014,11.496158677955513
113,Al,242,17.23759829398649,13.493166010336067,99.6683341616927,1532.561599438232,1199.6513510527939,8861.31925173564,3.751786819025532
114,Al,243,12.936275854834347,-16.445060775556648,106.75534054100969,370.50787147224014,-471.00297895287457,3057.5796648122837,11.646385625220773
115,Al,244,-20.83702415827166,-25.58929153571461,-73.41198971570013,-940.5223105225587,-1155.02575689301,-3313.602444524672,7.390025385507427
116,Al,245,1.8307814430853793,23.384689045327967,183.19091474532743,12.159910325288955,155.3193161586432,1216.740045145275,50.22101277893608
117,Al,246,40.6096874377826,41.63529527996959,250.92973077853603,1369.5044047987935,1404.0915820486355,8462.25108535198,9.891121815402062
118,Al,247,-5.192820731394427,-12.552445041108646,-74.77632695196344,-2860.191794295058,-6913.853214277585,-41186.60123629928,0.6056022927724811
119,Al,248,2.8895592245009176,4.377500286225466,83.36615394331547,267.8384471109513,405.7583831294824,7727.358908051698,3.598636818010262
120,Al,249,-20.71417737384078,-4.849432997688869,-58.91586900333414,-3550.78037363108,-831.2795241957419,-10099.233369346668,1.9459120934195335
121,Al,250,-22.113635703769077,-7.274769734300701,-51.18679557407936,-3903.806159549085,-1284.2434088404525,-9036.20420117587,1.8895189113538335
122,Al,251,3.7480523146125857,10.955026573811788,96.90781041416699,360.98000020433204,1055.0934626593653,9333.322613113854,3.4633935219875442
123,Al,252,9.704996012779269,15.60077443492264,111.29921047024006,915.8791634336529,1472.275127115917,10503.52083010464,3.534569451333592
124,Al,253,-8.44344719579246,-6.152752184145105,-72.82290433040919,-4109.624878924073,-2994.689593418364,-35444.6249798177,0.685325587298604
125,Al,254,-8.70436998023018,10.95851755468324,-53.04270331839462,-1014.9495542742651,1277.7883445779662,-6184.901171800038,2.8606993835557324
126,Al,255,-8.484260214602823,-14.932335107750827,-74.34999705463518,-4076.163771657826,-7174.066076816758,-35720.5880950408,0.6942912505992722
127,Al,256,-8.017399006394601,-2.6304623621557606,-49.08632716067226,-5211.974990191304,-1710.018926744256,-31910.187994600114,0.5131100392570416
