identifier,value1,value2,value3,diff1,diff2,diff3,a,b,c,parabol_min,parabol_min_diff,value4,diff4
5 71  2,12.292584,12.792584,12.542584,15903.84427,15908.81884,15904.22992,33.62620949,-833.5699804,21069.39674,12.39464681,15903.49364,12.39464681,15903.49364
5 71  3,2.70535118,2.75535118,2.73035118,15906.08143,15901.74809,15903.89971,24.0830083,-218.1768516,16320.0647,4.529684349,15825.92821,2.782904692,15899.41123
5 71  5,0.1619176403,0.2119176403,0.1869176403,15900.28331,15909.77618,15899.33251,9115.581932,-3217.868699,16182.32687,0.1765037451,15898.34358,0.1765037451,15898.34358
5 71  7,2.289323,2.339323,2.314323,15896.04082,15902.72681,15899.38997,-9.84551919,179.2910438,15537.18608,9.105210216,16353.42704,2.289323,15896.04047
5 73  1,57.01447397,57.51447397,57.26447397,15896.0172,15896.08201,15896.04919,0.006721807455,-0.6402208965,15910.66882,47.62267447,15895.42395,56.44432923,15895.94705
5 73  2,-0.05,0.45,0.2,15902.92073,15896.64883,15895.94001,61.51619945,-37.15027905,15900.90942,0.3019552523,15895.30021,0.3019552523,15895.30021
5 73  3,0.7699,0.8199,0.7949,15896.20268,15896.2556,15896.22916,-0.02195992856,1.093203047,15895.37404,24.89086074,15908.97907,0.7699,15896.20233
5 73  5,1.7609,1.8109,1.7859,15896.13674,15896.13835,15896.13757,-0.03886659106,0.1709696974,15895.9562,2.199442925,15896.14386,1.7609,15896.13638
5 73  7,2.975,3.025,3.0,15896.21096,15896.19064,15896.20066,0.2140712459,-1.690871476,15899.34664,3.949319463,15896.00738,3.0,15896.20031
5 74  1,63.7252624,64.2252624,63.9752624,15896.23154,15896.24524,15896.20066,0.6036450681,-77.20929664,18365.0665,63.95256146,15896.2,63.95256146,15896.2
5 74  2,27.88929728,28.38929728,28.13929728,15896.30229,15896.26589,15896.20868,1.206560763,-67.97634631,16853.63629,28.16946663,15896.20723,28.16946663,15896.20723
5 74  3,0.6968011744,0.7468011744,0.7218011744,15896.7717,15897.25679,15896.19928,1303.939776,-1872.66863,16568.54507,0.7180809517,15896.18088,0.7180809517,15896.18088
5 74  5,2.96258735,3.01258735,2.98758735,15896.08781,15896.14027,15896.11119,4.560631744,-26.20128908,15933.6831,2.8725504,15896.05048,2.932961477,15896.06713
5 74  7,1.46479853,1.51479853,1.48979853,15895.98498,15896.35287,15896.1319,59.23994773,-169.1532649,16016.65314,1.427695933,15895.90307,1.450150545,15895.93294
5 95  1,89.75,90.25,90.0,15920.24683,15876.36038,15895.94804,37.6889968,-6871.792321,329076.3829,91.16443664,15844.8447,90.0,15895.94769
5 95  2,33.0351,33.5351,33.2851,15890.57273,15904.51949,15895.94804,25.5690117,-1674.240694,43295.36307,32.73964426,15888.34035,32.73964426,15888.34035
