iter,molecular_formula,molecular_mass
23025,N128Al128,5245.696
23050,N128Al128,5245.696
23075,N128Al128,5245.696
23100,N128Al128,5245.696
23125,N128Al128,5245.696
23150,N128Al128,5245.696
23175,N128Al128,5245.696
23200,N128Al128,5245.696
23225,N128Al128,5245.696
23250,N128Al128,5245.696
23275,N128Al128,5245.696
23300,N128Al128,5245.696
23325,N128Al128,5245.696
23350,N128Al128,5245.696
23375,N128Al128,5245.696
23400,N128Al128,5245.696
23425,N128Al128,5245.696
23450,N128Al128,5245.696
23475,N128Al128,5245.696
23500,N128Al128,5245.696
23525,N128Al128,5245.696
23550,N128Al128,5245.696
23575,N128Al128,5245.696
23600,N128Al128,5245.696
23625,N128Al128,5245.696
23650,N128Al128,5245.696
23675,N128Al128,5245.696
23700,N128Al128,5245.696
23725,N128Al128,5245.696
23750,N128Al128,5245.696
23775,N128Al128,5245.696
23800,N128Al128,5245.696
23825,N128Al128,5245.696
23850,N128Al128,5245.696
23875,N128Al128,5245.696
23900,N128Al128,5245.696
23925,N128Al128,5245.696
23950,N128Al128,5245.696
23975,N128Al128,5245.696
24000,N128Al128,5245.696
24025,N128Al128,5245.696
24050,N128Al128,5245.696
24075,N128Al128,5245.696
24100,N128Al128,5245.696
24125,N128Al128,5245.696
24150,N128Al128,5245.696
24175,N128Al128,5245.696
24200,N128Al128,5245.696
24225,N128Al128,5245.696
24250,N128Al128,5245.696
24275,N128Al128,5245.696
24300,N128Al128,5245.696
24325,N128Al128,5245.696
24350,N128Al128,5245.696
24375,N128Al128,5245.696
24400,N128Al128,5245.696
24425,N128Al128,5245.696
24450,N128Al128,5245.696
24475,N128Al128,5245.696
24500,N128Al128,5245.696
24525,N128Al128,5245.696
24550,N128Al128,5245.696
24575,N128Al128,5245.696
24600,N128Al128,5245.696
24625,N128Al128,5245.696
24650,N128Al128,5245.696
24675,N128Al128,5245.696
24700,N128Al128,5245.696
24725,N128Al128,5245.696
24750,N128Al128,5245.696
24775,N128Al128,5245.696
24800,N128Al128,5245.696
24825,N128Al128,5245.696
24850,N128Al128,5245.696
24875,N128Al128,5245.696
